Nome,"Tipo Variação",Variante,Categoria,Marca,Referência,"Código de Barras",Descrição,"Descrição na Fatura",PVP,"Preço Fornecedor",Unidade,"Controlar Stock","IVA - Taxa","IVA - Isenção (Código)","IVA - Isenção (Norma)","Tipo de Produto","Classe de Bem","Loja principal","Stock - Loja principal","Margem de Lucro (%)- Normal",Imagem
"Água das Pedras ",,,Delivery,,VAGU179-24040365,,,Não,"3,0000","0,0000",Uni,Sim,23,,,P,,S,"-28,0000",100,https://www.vendus.pt/foto/e8631fc117f956c7822e50ff262714be.png
"Água das Pedras Limão",,,Delivery,,VAGU180-24040326,,,Não,"3,0000","0,0000",Uni,Sim,23,,,P,,S,"-80,0000",100,https://www.vendus.pt/foto/3644931f35545de9c6fc902d7344faf3.png
"Taxa Saco ",,,Delivery,,VTAX181-24040340,,,Não,"0,2500","0,0000",Uni,Sim,23,,,P,,S,"-22922,0000",100,
"Combinado Hot (24 pçs) ",,,Delivery,,VCOM182-24040334,,,Não,"16,0000","0,0000",Uni,Sim,13,,,P,,S,"-587,0000",100,https://www.vendus.pt/foto/557f0b045e86f5ea4d1d17ff6ab0f235.jpeg
"Temaki de Salmão Clássico (1 un.)",,,Delivery,,VTEM183-2404030,,,Não,"7,0000","0,0000",Uni,Sim,13,,,P,,S,"-402,0000",100,https://www.vendus.pt/foto/20292a9b33263fdb9c82b7f26f014d3e.jpeg
"Temaki de Salmão Filadélfia (1 un.)",,,Delivery,,VTEM184-24040323,,,Não,"7,0000","0,0000",Uni,Sim,13,,,P,,S,"-2063,0000",100,https://www.vendus.pt/foto/1794652f42e705e4d2c4446e56844fd3.jpeg
"Temaki de Salmão e Delicias do Mar Filadélfia (1 un.)",,,Delivery,,VTEM185-2404030,,,Não,"7,0000","0,0000",Uni,Sim,13,,,P,,S,"-124,0000",100,https://www.vendus.pt/foto/c9d8bbf2ac90f3782d6d6f5233ef6056.jpeg
"Temaki de Salmão Tropical (1 un.)",,,Delivery,,VTEM186-24040344,,,Não,"7,0000","0,0000",Uni,Sim,13,,,P,,S,"-172,0000",100,https://www.vendus.pt/foto/7317e489218e97ffab070641bbf0f27b.jpeg
"Temaki Vegan (1 un.)",,,Delivery,,VTEM187-24040337,,,Não,"7,0000","0,0000",Uni,Sim,13,,,P,,S,"-20,0000",100,https://www.vendus.pt/foto/c0bbdbd1d9d057917bba25564d24b2ec.jpeg
"Temaki de Salmão e Camarão Filadélfia (1 un.)",,,Delivery,,VTEM188-24040378,,,Não,"7,0000","0,0000",Uni,Sim,13,,,P,,S,"-435,0000",100,https://www.vendus.pt/foto/ac8ff318437d6cc3f678d2af8fecd3b2.jpeg
"Temaki de Salmão Grelhado Filadélfia (1 un.)",,,Delivery,,VTEM189-24040380,,,Não,"7,0000","0,0000",Uni,Sim,13,,,P,,S,"-152,0000",100,https://www.vendus.pt/foto/79d2d0d35b33844da69798ccffe875a7.jpeg
"Temaki de Camarão Filadélfia (1 un.)",,,"Take away Sushi in Sushi",,VTEM190-24040325,,,Não,"6,0000","0,0000",Uni,Sim,13,,,P,,S,"-6,0000",100,https://www.vendus.pt/foto/87c44c6c05798d890dd1c373c40c0cfe.jpeg
"Temaki de Camarão Panado Filadélfia (1 un.)",,,Delivery,,VTEM191-24040334,,,Não,"7,5000","0,0000",Uni,Sim,13,,,P,,S,"-180,0000",100,
